Bureau of Justice Statistics,,,,,,,,,,,
Filename: ppus07at01.csv,,,,,,,,,,,
"Appendix table 1. Adults on community supervision, 2007",,,,,,,,,,,
Data source: 2007 Annual Probation Survey; 2007 Annual Parole Survey,,,,,,,,,,,
"Author: Lauren E. Glaze, Thomas P. Bonczar, and Matthew S. Cooper ",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765,,,,,,,,,,,
Date of version: 08/10/2009,,,,,,,,,,,

"Appendix table 1. Adults on community supervision, 2007",,,,,,,,,,,
,,,,2007,,,,,,,
,,,,Entries,,Exits,,,,,
Region and jurisdiction,,,"Community supervision population, 1/1/2007",Reported,Imputed/a,Reported,Imputed/a ,"Community supervision population, 12/31/2007/b","Percent change, 2007",,"Number on community supervision per 100,000 adult residents, 12/31/2007"
,,U.S. total/c,"5,015,236","2,722,249","2,918,400","2,637,643","2,816,600","5,119,260",2.1,%,"2,234"
,Federal,,"113,458","54,892","54,892","52,227","52,227","116,123",2.3,%,51
,State/c,,"4,901,778","2,667,357","2,863,500","2,585,416","2,764,400","5,003,137",2.1,,"2,183"
Northeast,,,"853,300","274,627","355,900","276,486","352,000","857,239",0.5,%,"2,023"
,Connecticut/d,,"56,881","31,000","31,000","28,211","28,211","59,670",4.9,,"2,217"
,Maine,,"7,950","3,627","3,627","3,692","3,692","7,885",-0.8,,757
,Massachusetts/d,,"175,818","98,952","98,952","96,142","96,142","178,628",1.6,,"3,548"
,New Hampshire/d,,"6,211","3,789","3,789","3,697","3,697","6,303",1.5,,616
,New Jersey,,"147,563","49,728","49,728","55,858","55,858","141,433",-4.2,,"2,127"
,New York,,"175,360","62,419","62,419","64,147","64,147","173,632",-1,,"1,163"
,Pennsylvania/e,,"248,570","13,966","95,300","13,240","88,800","255,094",2.6,,"2,636"
,Rhode Island/d,,"26,349","6,262","6,262","6,012","6,012","26,599",0.9,,"3,223"
,Vermont/d,,"8,598","4,884","4,884","5,487","5,487","7,995",-7,,"1,626"
